ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,Rating\ratingCS+1.png,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,52.6180324999732,None,52.6180324999732,None,2.2187499999999996,1.2167996999924071,52.6180324999732,None,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,0.4,Rating\ratingCS-1.png,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,55.736628099984955,None,55.736628099984955,None,1.7578125,2.6668101999675855,55.736628099984955,None,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,0,0,14,,,,,,,,,,,,,57.94551170000341,None,57.94551170000341,None,58.954947699967306,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,59.24525169999106,None,59.24525169999106,None,60.253358399961144,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,60.35329339996679,None,60.35329339996679,None,61.353444100008346,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,3,3,17,,,,,,,,,,,,,61.45943399996031,None,61.45943399996031,None,62.471586900006514,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,4,4,18,,,,,,,,,,,,,62.493020299996715,None,62.493020299996715,None,63.50297239999054,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,5,5,13,,,,,,,,,,,,,63.65292129997397,None,63.65292129997397,None,64.65426859998843,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,6,6,4,,,,,,,,,,,,,64.77064770000288,None,64.77064770000288,None,65.77029899996705,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,7,7,3,,,,,,,,,,,,,65.88635919999797,None,65.88635919999797,None,66.88659629999893,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,8,8,15,,,,,,,,,,,,,67.00476430001436,None,67.00476430001436,None,68.0038307000068,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,9,9,6,,,,,,,,,,,,,68.21437890001107,None,68.21437890001107,None,69.21964460000163,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,10,10,5,,,,,,,,,,,,,69.28603009996004,None,69.28603009996004,None,70.2868645999697,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,11,11,19,,,,,,,,,,,,,70.43570849997923,None,70.43570849997923,None,71.43607669998892,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,12,12,9,,,,,,,,,,,,,71.65335839998443,None,71.65335839998443,None,72.65243199997349,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,13,13,0,,,,,,,,,,,,,72.90209280001,None,72.90209280001,None,73.90212789998623,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,14,14,10,,,,,,,,,,,,,74.024614199996,None,74.024614199996,None,75.0370891999919,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,15,15,16,,,,,,,,,,,,,75.07025950000389,None,75.07025950000389,None,76.08535319997463,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,16,16,7,,,,,,,,,,,,,76.31452650000574,None,76.31452650000574,None,77.31851499999175,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+2.BMP,-0.1,,1,0,1,0,0,17,17,8,,,,,,,,,,,,,77.45170390000567,None,77.45170390000567,None,78.4519358999678,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
