PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS-1.BMP,0.4,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,155.04808490001597,None,155.04808490001597,161.03153500001645,161.04839240002912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
PreCondition\CS-1.BMP,0.4,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,162.38045170000987,None,162.38045170000987,168.36349870002596,168.38024370005587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
PreCondition\CS+1.BMP,-0.1,,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,169.75524790002964,None,169.75524790002964,175.74600170005579,175.76232630002778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,-0.1,Rating\ratingCS+1.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.9729274000274,None,180.9729274000274,None,1.6796874999999998,37.97165339998901,180.9729274000274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,0.4,Rating\ratingCS-1.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,220.71251010004198,None,220.71251010004198,None,1.9296875,0.9066980999778025,220.71251010004198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.29964810004458,None,221.29964810004458,None,space,1.5979437999776565,221.29964810004458,None,,,,,,,,,,,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,231.49755950004328,None,,,,,,,,,,,,,,,,,222.96535970002878,None,222.96535970002878,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,238.91296640003566,None,,,,,,,,,,,,,,,,,232.83443670003908,None,232.83443670003908,None,238.85964360000798,None,238.85964360000798,None,238.81331355003059,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,246.26125220005633,None,,,,,,,,,,,,,,,,,240.23967249999987,None,240.23967249999987,None,245.3312905000057,None,245.3312905000057,None,245.32978495002607,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,253.40945580002153,None,,,,,,,,,,,,,,,,,247.3838971000514,None,247.3838971000514,None,252.40944360004505,None,252.40944360004505,None,252.41705405000246,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,260.60608650004724,None,,,,,,,,,,,,,,,,,254.5835857000202,None,254.5835857000202,None,259.59793740004534,None,259.59793740004534,None,259.6007775000064,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,270.48855800001184,None,,,,,,,,,,,,,,,,,261.8998589000548,None,261.8998589000548,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,277.7619410000043,None,,,,,,,,,,,,,,,,,271.67918650002684,None,271.67918650002684,None,276.79296940000495,None,276.79296940000495,None,276.8048110000207,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,7,7,18,,,,,,,,,,,,,,,,,,,,,287.57639740000013,None,,,,,,,,,,,,,,,,,279.0249712000368,None,279.0249712000368,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026b,001,2021_Oct_26_1120,FigureTest,2021.2.1,59.76814739753125,
