PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS+1.BMP,-0.1,,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,273.31062619999284,None,273.31062619999284,279.29971290001413,279.319023500022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS+1.BMP,-0.1,,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,,,287.66926410002634,None,287.66926410002634,293.6642989999964,293.6809077000362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS-1.BMP,0.4,,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,301.8484804999898,None,301.8484804999898,None,307.8467976000393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,Rating\ratingCS+1.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,320.1371972000343,None,320.1371972000343,None,1.6640625,6.213568500010297,320.1371972000343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,Rating\ratingCS-1.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,327.94950290001,None,327.94950290001,None,1.6875,1.097392999974545,327.94950290001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.8803238000255,None,328.8803238000255,None,space,7.201199100003578,328.8803238000255,None,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,344.64619830000447,None,,,,,,,,,,,,,,,,,336.12634290003916,None,336.12634290003916,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,358.90896289999364,None,,,,,,,,,,,,,,,,,352.8027194000315,None,352.8027194000315,None,358.8412282000063,None,358.8412282000063,None,358.77664407010303,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,2,2,16,,,,,,,,,,,,,,,,,,,,,373.28484820004087,None,,,,,,,,,,,,,,,,,367.2150362000102,None,367.2150362000102,None,373.2384036000003,None,373.2384036000003,None,373.17251144010805,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,3,3,18,,,,,,,,,,,,,,,,,,,,,387.6477369000204,None,,,,,,,,,,,,,,,,,381.61846010002773,None,381.61846010002773,None,387.62583380000433,None,387.62583380000433,None,387.5730942400871,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,401.8383441999904,None,,,,,,,,,,,,,,,,,395.8076104000211,None,395.8076104000211,None,401.81656830001157,None,401.81656830001157,None,401.75741064005996,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,416.14593420003075,None,,,,,,,,,,,,,,,,,410.1368027999997,None,410.1368027999997,None,415.2741999999853,None,415.2741999999853,None,415.26999057002246,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,432.9381965000066,None,,,,,,,,,,,,,,,,,424.39985550002893,None,424.39985550002893,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,447.2144152999972,None,,,,,,,,,,,,,,,,,441.1784368000226,None,441.1784368000226,None,446.28828490001615,None,446.28828490001615,None,446.28804921002006,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,461.4911299000378,None,,,,,,,,,,,,,,,,,455.46588959998917,None,455.46588959998917,None,460.48911810002755,None,460.48911810002755,None,460.4926599600119,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,475.6440679000225,None,,,,,,,,,,,,,,,,,469.5895004000049,None,469.5895004000049,None,474.6111141000292,None,474.6111141000292,None,474.606811360002,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,,,492.87418410001555,None,,,,,,,,,,,,,,,,,484.3133981000283,None,484.3133981000283,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,506.9979340999853,None,,,,,,,,,,,,,,,,,500.9732100000256,None,500.9732100000256,None,506.97324810002465,None,506.97324810002465,None,506.9520720000728,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,521.3125207000412,None,,,,,,,,,,,,,,,,,515.3046483999933,None,515.3046483999933,None,520.3987837000168,None,520.3987837000168,None,520.3939748100063,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,537.9749476999859,None,,,,,,,,,,,,,,,,,529.4588674000115,None,529.4588674000115,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,552.061306299991,None,,,,,,,,,,,,,,,,,546.0304042000207,None,546.0304042000207,None,551.1235085999942,None,551.1235085999942,None,551.1249935100029,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,568.88037790003,None,,,,,,,,,,,,,,,,,560.3152757000062,None,560.3152757000062,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,16,16,4,,,,,,,,,,,,,,,,,,,,,583.2173631000333,None,,,,,,,,,,,,,,,,,577.1783547000377,None,577.1783547000377,None,582.273881000001,None,582.273881000001,None,582.2782517100393,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,597.5685638000141,None,,,,,,,,,,,,,,,,,591.5267772999941,None,591.5267772999941,None,596.5357988000032,None,596.5357988000032,None,596.5443683600286,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,18,18,15,,,,,,,,,,,,,,,,,,,,,614.4987793000182,None,,,,,,,,,,,,,,,,,605.9295641999925,None,605.9295641999925,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,628.7086589999963,None,,,,,,,,,,,,,,,,,622.6037227000343,None,622.6037227000343,None,628.6347472000052,None,628.6347472000052,None,628.563448940101,None,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,Rating\ratingCS+1.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,638.5100793000311,None,638.5100793000311,None,4.921875,19.05342519999249,638.5100793000311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,0.4,Rating\ratingCS-1.png,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,659.0321530000074,None,659.0321530000074,None,2.2187499999999996,1.730544899997767,659.0321530000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.7249834000249,None,660.7249834000249,None,space,2.388180800015107,660.7249834000249,None,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,,,,Extinction\CS+1.BMP,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,669.151984600001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.1501020999858,None,663.1501020999858,None,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
,-0.1,,,,,Extinction\CS+1.BMP,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,683.3505086000077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.3511644999962,None,677.3511644999962,None,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
