PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,ISIBkg.started,ISIBkg.stopped,InterSessInstrct.started,InterSessInstrct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,93.53448240000034,None,93.53448240000034,None,95.62991299999885,None,95.62991299999885,None,95.6335818200003,None,96.58481089999987,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75052200000027,None,98.75052200000027,None,100.76646249999976,None,100.76646249999976,None,100.76669585999971,None,101.83823069999926,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,104.28797809999924,None,104.28797809999924,None,106.29889139999977,None,106.29889139999977,None,106.29900595999916,None,107.32558450000033,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0,0,Cond1\CS+.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.51512349999939,None,109.51512349999939,None,None,None,None,None,None,None,115.17895800000042,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,117.21291579999888,None,117.21291579999888,None,120.27118990000054,None,120.27118990000054,None,120.20751399999972,None,120.33205549999911,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,122.40803950000009,None,122.40803950000009,None,124.50355019999915,None,124.50355019999915,None,124.50982411999922,None,125.44467669999904,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,127.55631859999994,None,127.55631859999994,None,129.55633639999905,None,129.55633639999905,None,129.5560188600006,None,130.58383539999886,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,132.7893681000005,None,132.7893681000005,None,None,None,None,None,None,None,138.4755468000003,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,140.60741310000049,None,140.60741310000049,None,143.66836589999912,None,143.66836589999912,None,143.60510686000035,None,143.75562089999949,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0733280000004,None,146.0733280000004,None,148.1961212999995,None,148.1961212999995,None,148.1891627799989,None,149.08604489999925,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,151.4672172999999,None,151.4672172999999,None,None,None,None,None,None,None,157.21153369999956,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,159.4718441999994,None,159.4718441999994,None,162.52989700000035,None,162.52989700000035,None,162.47045975999882,None,162.59595439999975,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,164.78470199999902,None,164.78470199999902,None,167.83053560000008,None,167.83053560000008,None,167.7663465000005,None,167.8955389999992,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0,0,Cond1\CS+.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,169.93492159999914,None,169.93492159999914,None,None,None,None,None,None,None,173.0081451999995,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,175.26376019999952,None,175.26376019999952,None,None,None,None,None,None,None,178.32636509999975,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\black.PNG,Sound\2.wav,,,,,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,180.7488040999997,None,180.7488040999997,None,183.7994703000004,None,183.7994703000004,None,183.72917683999967,None,183.8374234999992,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,186.08665649999966,None,186.08665649999966,None,188.1822685999996,None,188.1822685999996,None,188.18693891999993,None,189.10235079999984,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,191.30138719999923,None,191.30138719999923,None,193.30159879999883,None,193.30159879999883,None,193.30113485999883,None,194.31590750000032,None,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.59880279999925,None,196.59880279999925,None,space,10.424866399998791,196.59880279999925,None,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,209.06723539999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.05806819999998,None,207.05806819999998,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,213.40008639999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.39998530000048,None,211.39998530000048,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,217.6325299,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.61717589999898,None,215.61717589999898,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,221.91559020000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.9159681000001,None,219.9159681000001,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,226.00095060000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.99899379999988,None,223.99899379999988,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,230.06436959999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.05086929999925,None,228.05086929999925,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,234.31667799999923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.30034689999957,None,232.30034689999957,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,238.36400289999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.36413299999913,None,236.36413299999913,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,242.58084710000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.5805634999997,None,240.5805634999997,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,247.06581209999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.04959049999889,None,245.04959049999889,None,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.16918590000023,None,249.16918590000023,None,space,5.48087839999971,249.16918590000023,None,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
