PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,CSBkg.stopped,CS_image.stopped,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,224.8394187919912,233.1404655840015,,,,,,,,,,,,,217.8334883750067,217.8334883750067,223.9043290420086,223.9043290420086,223.9067348749959,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,4,4,13,,,,,,,,,,,,,240.15764108399162,248.6769057919737,,,,,,,,,,,,,233.1404655840015,233.1404655840015,239.143469291972,239.143469291972,239.14071425857256,239.143469291972,239.143469291972,240.14005016698502,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,,,,,,,255.67375595896738,263.95724104199326,,,,,,,,,,,,,248.6769057919737,248.6769057919737,254.69022712501464,254.69022712501464,254.69078200861114,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,6,6,11,,,,,,,,,,,,,270.9577795419609,279.0408006669604,,,,,,,,,,,,,263.95724104199326,263.95724104199326,269.9571217090124,269.9571217090124,269.9584527585888,,,270.9577795419609,270.9577795419609,270.9577795419609,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,7,7,9,,,,,,,,,,,,,286.0409626250039,294.291119624977,,,,,,,,,,,,,279.0408006669604,279.0408006669604,285.0410499169957,285.0410499169957,285.04161159156354,285.0410499169957,285.0410499169957,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,8,8,14,,,,,,,,,,,,,301.2916903339792,309.52717308397405,,,,,,,,,,,,,294.291119624977,294.291119624977,300.292525249999,300.292525249999,300.29175817556677,300.292525249999,300.292525249999,301.2916903339792,301.2916903339792,301.2916903339792,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,9,9,25,,,,,,,,,,,,,317.60459199995967,325.7980716669699,,,,,,,,,,,,,309.52717308397405,309.52717308397405,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,10,10,28,,,,,,,,,,,,,333.6433579589939,341.9879714999697,,,,,,,,,,,,,325.7980716669699,325.7980716669699,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,11,11,29,,,,,,,,,,,,,349.82170012500137,358.03289004199905,,,,,,,,,,,,,341.9879714999697,341.9879714999697,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,12,12,5,,,,,,,,,,,,,365.02594216697617,373.24537799996324,,,,,,,,,,,,,358.03289004199905,358.03289004199905,364.1048744589789,364.1048744589789,364.1107346249628,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,13,13,22,,,,,,,,,,,,,381.0175072500133,389.33777379198,,,,,,,,,,,,,373.24537799996324,373.24537799996324,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,14,14,12,,,,,,,,,,,,,396.3270853749709,404.462141166965,,,,,,,,,,,,,389.33777379198,389.33777379198,395.40704816696234,395.40704816696234,395.41122741700383,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,15,15,7,,,,,,,,,,,,,411.4611392499646,419.6150979999802,,,,,,,,,,,,,404.462141166965,404.462141166965,410.46157579199644,410.46157579199644,410.46115959159795,410.46157579199644,410.46157579199644,411.4611392499646,411.4611392499646,411.4611392499646,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,16,16,24,,,,,,,,,,,,,427.4209917089902,435.5532804169925,,,,,,,,,,,,,419.6150979999802,419.6150979999802,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
