PreCondName,TrgCol,ratingName_EN,ratingName_CN,CSName,UCSName,SoundName,ExtName,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,InstrBkg3.started,TagFig3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,ExtBkg.started,Ext_image.started,EndTxt.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.808165958005702,24.808165958005702,24.808165958005702,space,89.13234862500394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+4.BMP,0.4,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,114.259826583002,114.259826583002,120.13644712499809,120.1642370000045,124.45008145799511,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,124.45008145799511,124.45008145799511,130.4337855000049,130.4468749170046,134.62843895799597,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+4.BMP,0.4,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,134.62843895799597,134.62843895799597,140.61130458299886,140.62515337500372,144.93870995800535,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,144.93870995800535,144.93870995800535,150.92194429200026,150.9344219580089,155.1063801249984,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+4.BMP,0.4,,,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,155.1063801249984,155.1063801249984,161.08719279200886,161.09943816700252,165.33345583299524,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+1.BMP,0.4,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,165.33345583299524,165.33345583299524,171.2909570000047,171.30366008300916,175.4043160000001,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+1.BMP,0.4,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,175.4043160000001,175.4043160000001,181.38769441700424,181.40160075000313,185.5402794170077,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,185.5402794170077,185.5402794170077,191.52450279200275,191.53821945800155,195.9045477920008,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+1.BMP,0.4,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,195.9045477920008,195.9045477920008,201.8900169999979,201.90286062500672,206.45433016700554,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
