PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,367.4486812999821,None,,,,,,,,,,,,,,,,,361.42159699997865,None,361.42159699997865,None,366.50534099998185,None,366.50534099998185,None,366.50447461998556,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,379.6243540000287,None,,,,,,,,,,,,,,,,,373.608573400008,None,373.608573400008,None,378.61283019999973,None,378.61283019999973,None,378.60811311998987,379.6076116000186,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,391.6450352999964,None,,,,,,,,,,,,,,,,,385.6397883000318,None,385.6397883000318,None,390.6394638000056,None,390.6394638000056,None,390.63983142000507,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,406.5816924999817,None,,,,,,,,,,,,,,,,,398.1391008999781,None,398.1391008999781,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,418.6373193000327,None,,,,,,,,,,,,,,,,,412.6303535000188,None,412.6303535000188,None,418.60085940000135,None,418.60085940000135,None,418.57878995971987,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,431.0242479000008,None,,,,,,,,,,,,,,,,,424.97017879999476,None,424.97017879999476,None,430.07818180002505,None,430.07818180002505,None,430.0864625599934,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,445.6280232000281,None,,,,,,,,,,,,,,,,,437.1828093000222,None,437.1828093000222,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,457.953616600018,None,,,,,,,,,,,,,,,,,451.90304429997923,None,451.90304429997923,None,457.9204168000142,None,457.9204168000142,None,457.850424759672,None,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,Rating\ratingCS+.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,465.137877799978,None,465.137877799978,None,3.0546875,573.7303590000374,465.137877799978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,Rating\ratingCS-.png,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1039.844696199987,None,1039.844696199987,None,2.015625,1.0113521000021137,1039.844696199987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.8217131000129,None,1040.8217131000129,None,space,2.4062636999879032,1040.8217131000129,None,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
