PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.9467201999978,None,170.9467201999978,None,space,3.025908100000379,170.9467201999978,None,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,182.63719929999934,None,,,,,,,,,,,,,,,,,174.01017339999817,None,174.01017339999817,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,195.0164659999973,None,,,,,,,,,,,,,,,,,188.92102969999905,None,188.92102969999905,None,194.96256909999647,None,194.96256909999647,None,194.90759659999458,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,207.25981829999728,None,,,,,,,,,,,,,,,,,201.25321699999768,None,201.25321699999768,None,206.37178289999792,None,206.37178289999792,None,206.36744048999645,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,222.01399179999862,None,,,,,,,,,,,,,,,,,213.37810649999665,None,213.37810649999665,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,234.51129429999855,None,,,,,,,,,,,,,,,,,228.44919049999953,None,228.44919049999953,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,246.75125359999947,None,,,,,,,,,,,,,,,,,240.69881699999678,None,240.69881699999678,None,245.80753069999992,None,245.80753069999992,None,245.81646675999875,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,258.9522990999976,None,,,,,,,,,,,,,,,,,252.94521299999906,None,252.94521299999906,None,257.9456341999976,None,257.9456341999976,None,257.94514296999876,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0,,Condition\CS+.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,273.74338329999955,None,,,,,,,,,,,,,,,,,265.14390490000005,None,265.14390490000005,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,286.1007019999997,None,,,,,,,,,,,,,,,,,280.04734279999684,None,280.04734279999684,None,285.16353869999875,None,285.16353869999875,None,285.15965538999694,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
