PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond1.thisRepN,PreCond1.thisTrialN,PreCond1.thisN,PreCond1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,Cond1.thisRepN,Cond1.thisTrialN,Cond1.thisN,Cond1.thisIndex,RatingCond1.thisRepN,RatingCond1.thisTrialN,RatingCond1.thisN,RatingCond1.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,188.2631905999733,None,188.2631905999733,None,space,23.303261400025804,188.2631905999733,None,211.60025949997362,None,211.60025949997362,None,213.60314289998496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,214.76871099998243,None,214.76871099998243,216.75270700000692,216.76940799999284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,217.96724410000024,None,217.96724410000024,None,219.9690108000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,221.20160069997655,None,221.20160069997655,None,223.2021226999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,224.41422749997582,None,224.41422749997582,226.40171160001773,226.4182866999763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,,,,,227.60098380001727,None,227.60098380001727,None,229.60060299996985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,230.7841163999983,None,230.7841163999983,None,232.78395449998789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,233.97467279998818,None,233.97467279998818,235.96709809999447,235.98381170001812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,237.06644819997018,None,237.06644819997018,239.04961410001852,239.0669434000156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,240.18293259997154,None,240.18293259997154,242.16688839998096,242.18344669998623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,-0.1,Rating\ratingCS+1.png,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,247.34926170000108,None,247.34926170000108,None,1.5546875000000002,3.429645999975037,247.34926170000108,None,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,Rating\ratingCS-1.png,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,252.43023140000878,None,252.43023140000878,None,1.453125,1.422494700003881,252.43023140000878,None,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,258.3165147000109,None,,,,,,,,,253.61266490002163,None,253.61266490002163,None,space,1.5694834000314586,253.61266490002163,None,255.33235109999077,None,255.33235109999077,None,257.32511169998907,None,257.32511169998907,None,257.33120574000054,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,262.7905562000233,None,,,,,,,,,,,,,,,,,259.78062739997404,None,259.78062739997404,None,261.78272720001405,None,261.78272720001405,None,261.7812545199762,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,269.6620680000051,None,,,,,,,,,,,,,,,,,264.1750665999716,None,264.1750665999716,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,273.7924885000102,None,,,,,,,,,,,,,,,,,270.78498639998725,None,270.78498639998725,None,272.8970367999864,None,272.8970367999864,None,272.90945206005125,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,4,4,28,,,,,,,,,,,,,,,,,280.3659409999964,None,,,,,,,,,,,,,,,,,274.909326300025,None,274.909326300025,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,284.61828589998186,None,,,,,,,,,,,,,,,,,281.5899589000037,None,281.5899589000037,None,283.70474419998936,None,283.70474419998936,None,283.7155791600118,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,291.46260670002084,None,,,,,,,,,,,,,,,,,286.00896419998026,None,286.00896419998026,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,7,7,22,,,,,,,,,,,,,,,,,295.7083447999903,None,,,,,,,,,,,,,,,,,292.6141720999731,None,292.6141720999731,None,295.63819129997864,None,295.63819129997864,None,295.57165386026026,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,300.0509077999741,None,,,,,,,,,,,,,,,,,296.9594748999807,None,296.9594748999807,None,299.99447839998174,None,299.99447839998174,None,299.92499548030315,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,9,9,3,,,,,,,,,,,,,,,,,304.12667720002355,None,,,,,,,,,,,,,,,,,301.0997062000097,None,301.0997062000097,None,303.20622230001027,None,303.20622230001027,None,303.21608596002915,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,10,10,17,,,,,,,,,,,,,,,,,310.7148863999755,None,,,,,,,,,,,,,,,,,305.25278689997504,None,305.25278689997504,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,11,11,14,,,,,,,,,,,,,,,,,314.8963852999732,None,,,,,,,,,,,,,,,,,311.8681335999863,None,311.8681335999863,None,313.982627600024,None,313.982627600024,None,313.99221396002685,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,12,12,24,,,,,,,,,,,,,,,,,321.62781179999,None,,,,,,,,,,,,,,,,,316.1247776999953,None,316.1247776999953,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,325.9022915000096,None,,,,,,,,,,,,,,,,,322.86856410000473,None,322.86856410000473,None,325.8574469999876,None,325.8574469999876,None,325.8079730402794,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,14,14,19,,,,,,,,,,,,,,,,,330.0650109999697,None,,,,,,,,,,,,,,,,,327.05431969999336,None,327.05431969999336,None,330.0451818999718,None,330.0451818999718,None,330.0263019802747,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,15,15,21,,,,,,,,,,,,,,,,,334.40898559999187,None,,,,,,,,,,,,,,,,,331.38169259997085,None,331.38169259997085,None,334.38888579997,None,334.38888579997,None,334.33010876026236,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,16,16,11,,,,,,,,,,,,,,,,,338.4695857000188,None,,,,,,,,,,,,,,,,,335.4793022000231,None,335.4793022000231,None,337.58154699997976,None,337.58154699997976,None,337.5921479600249,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,17,17,16,,,,,,,,,,,,,,,,,345.2580911999685,None,,,,,,,,,,,,,,,,,339.7643377999775,None,339.7643377999775,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,18,18,26,,,,,,,,,,,,,,,,,349.4721646999824,None,,,,,,,,,,,,,,,,,346.4406515000155,None,346.4406515000155,None,349.440584499971,None,349.440584499971,None,349.403523760254,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,19,19,6,,,,,,,,,,,,,,,,,353.6980433000135,None,,,,,,,,,,,,,,,,,350.6927772000199,None,350.6927772000199,None,352.799940900004,None,352.799940900004,None,352.81046416003954,None,hyz1102,001,2021_Nov_02_1204,FigureTest,2021.2.1,59.89594874649438,
