PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,stimType,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,110.63407240000015,None,110.63407240000015,None,113.68163189999905,None,113.68163189999905,None,113.63666932999531,None,113.73070569999982,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,115.81790809999984,None,115.81790809999984,None,117.93087669999841,None,117.93087669999841,None,117.93493003999866,None,118.9065200999994,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.16843229999904,None,121.16843229999904,None,None,None,None,None,None,None,126.87461799999983,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,129.24123839999993,None,129.24123839999993,None,None,None,None,None,None,None,132.28991779999888,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,7,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,134.62616139999955,None,134.62616139999955,None,None,None,None,None,None,None,137.6999081999984,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,139.88972959999955,None,139.88972959999955,None,None,None,None,None,None,None,142.95787129999917,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0139135999998,None,145.0139135999998,None,147.12689369999862,None,147.12689369999862,None,147.12891000999787,None,148.0713767999987,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,150.262849499999,None,150.262849499999,None,152.26262869999846,None,152.26262869999846,None,152.26276172999877,None,153.30713849999847,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,155.72900719999961,None,155.72900719999961,None,157.7290572999991,None,157.7290572999991,None,157.72937902999928,None,158.73479049999878,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,160.87847939999847,None,160.87847939999847,None,None,None,None,None,None,None,166.5376402999991,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,168.57206919999953,None,168.57206919999953,None,171.57109859999946,None,171.57109859999946,None,171.50751820999483,None,171.65883799999938,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,173.70916089999992,None,173.70916089999992,None,175.82660880000003,None,175.82660880000003,None,175.82613583999918,None,176.73022279999896,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,179.03119220000008,None,179.03119220000008,None,181.03230199999962,None,181.03230199999962,None,181.030977229999,182.04113179999877,182.0484239999987,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,184.29720329999873,None,184.29720329999873,None,None,None,None,None,None,None,190.00867669999934,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0412550000001,None,192.0412550000001,None,194.13798489999863,None,194.13798489999863,None,194.14181170999962,None,195.07818020000013,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,197.12386249999872,None,197.12386249999872,None,None,None,None,None,None,None,202.84010099999978,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,204.94308499999897,None,204.94308499999897,None,None,None,None,None,None,None,208.0331968999999,None,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.21993089999887,None,210.21993089999887,None,space,2.296893099999579,210.21993089999887,None,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.53540449999855,None,212.53540449999855,None,,,,,,,
