PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,ISIBkg.started,ISIBkg.stopped,InterSessInstrct.started,InterSessInstrct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,18,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.27464899999904,None,274.27464899999904,None,276.3766957000007,None,276.3766957000007,None,276.37483638000117,None,277.3363556000004,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.41278189999866,None,279.41278189999866,None,None,None,None,None,None,None,285.0139010999992,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.233731100001,None,287.233731100001,None,space,4.542777599999681,287.233731100001,None,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,293.7950797000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.7969582000005,None,291.7969582000005,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,298.2267600000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.22754429999986,None,296.22754429999986,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,302.4633199000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.46017980000033,None,300.46017980000033,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,306.6603603000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.6600639999997,None,304.6600639999997,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,310.85917999999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.845118600002,None,308.845118600002,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,315.0753958999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.0763654000002,None,313.0763654000002,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,319.2250967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.2253235999997,None,317.2253235999997,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,323.5082844999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.49770759999956,None,321.49770759999956,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,327.64294249999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.64142580000043,None,325.64142580000043,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,0,9,9,5,,,,,,,,,,,,,331.89228600000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.88998269999865,None,329.88998269999865,None,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.2761582999992,None,334.2761582999992,None,space,4.259744599999976,334.2761582999992,None,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
