PreCondName,TrgCol,ratingName_EN,ratingName_CN,CSName,UCSName,SoundName,ExtName,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,InstrBkg3.started,TagFig3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,ExtBkg.started,Ext_image.started,participant,session,date,expName,psychopyVersion,frameRate,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,26,26,13,,,,,,,,,,,,,,,,,525.514434584009,529.8641362500202,,,,,,,,,,,,,518.5135011670063,518.5135011670063,524.5154370840173,524.5154370840173,524.5120137086817,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,27,27,15,,,,,,,,,,,,,,,,,537.804670417012,541.9984288340202,,,,,,,,,,,,,529.8641362500202,529.8641362500202,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,-0.1,,,Stimuli/CS+4.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,28,28,31,,,,,,,,,,,,,,,,,549.9583195419982,554.4096481669985,,,,,,,,,,,,,541.9984288340202,541.9984288340202,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,29,29,18,,,,,,,,,,,,,,,,,562.3367090419924,566.4912525840045,,,,,,,,,,,,,554.4096481669985,554.4096481669985,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,30,30,5,,,,,,,,,,,,,,,,,573.481890916999,577.6206145840115,,,,,,,,,,,,,566.4912525840045,566.4912525840045,572.565424417,572.565424417,572.5492987923402,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,31,31,10,,,,,,,,,,,,,,,,,584.6312872919952,588.8196280840202,,,,,,,,,,,,,577.6206145840115,577.6206145840115,583.6154597089917,583.6154597089917,583.6157184166698,,584.6144764590135,584.6144764590135,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,32,32,27,,,,,,,,,,,,,,,,,596.8838746249967,601.0448802500032,,,,,,,,,,,,,588.8196280840202,588.8196280840202,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,33,33,23,,,,,,,,,,,,,,,,,608.9684928340139,613.0763635000039,,,,,,,,,,,,,601.0448802500032,601.0448802500032,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,34,34,39,,,,,,,,,,,,,,,,,620.0833275839977,624.2354244590097,,,,,,,,,,,,,613.0763635000039,613.0763635000039,619.1854934589937,619.1854934589937,619.1666047499981,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,35,35,21,,,,,,,,,,,,,,,,,632.0938986249967,636.4772652090178,,,,,,,,,,,,,624.2354244590097,624.2354244590097,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,36,36,8,,,,,,,,,,,,,,,,,643.4841942499916,647.7877299170068,,,,,,,,,,,,,636.4772652090178,636.4772652090178,642.5709466669941,642.5709466669941,642.567370583996,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,37,37,12,,,,,,,,,,,,,,,,,654.8012948750111,659.0374411249941,,,,,,,,,,,,,647.7877299170068,647.7877299170068,653.786069209018,653.786069209018,653.7851628756655,654.7841928749986,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,38,38,37,,,,,,,,,,,,,,,,,666.0338713749952,670.370626125019,,,,,,,,,,,,,659.0374411249941,659.0374411249941,665.0552499589976,665.0552499589976,665.0511590836725,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,39,39,28,,,,,,,,,,,,,,,,,678.2773812919913,682.3454912500165,,,,,,,,,,,,,670.370626125019,670.370626125019,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,40,40,35,,,,,,,,,,,,,,,,,689.351508666994,693.4875624589913,,,,,,,,,,,,,682.3454912500165,682.3454912500165,688.419940916996,688.419940916996,688.41864829233,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,41,41,40,,,,,,,,,,,,,,,,,700.5025290840131,704.6563200840028,,,,,,,,,,,,,693.4875624589913,693.4875624589913,699.5030362090038,699.5030362090038,699.5028499166694,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,42,42,24,,,,,,,,,,,,,,,,,712.4930263340066,716.6973262090178,,,,,,,,,,,,,704.6563200840028,704.6563200840028,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,43,43,6,,,,,,,,,,,,,,,,,723.7026330840017,727.8870787089982,,,,,,,,,,,,,716.6973262090178,716.6973262090178,722.8398115420132,722.8398115420132,722.8373259170097,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,44,44,9,,,,,,,,,,,,,,,,,734.8868041250098,739.0498791249993,,,,,,,,,,,,,727.8870787089982,727.8870787089982,733.8892747920181,733.8892747920181,733.886869958664,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,-0.1,Instructions_EN/ratingCS+1.png,Instructions_CN/ratingCS+1.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,739.0498791249993,739.0498791249993,739.0498791249993,None,None,4,19.42452908301493,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,Instructions_EN/ratingCS+3.png,Instructions_CN/ratingCS+3.png,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,758.5681404170173,758.5681404170173,758.5681404170173,None,None,1,1.5376677080057561,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,-0.1,Instructions_EN/ratingCS+4.png,Instructions_CN/ratingCS+4.png,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,760.1396444170095,760.1396444170095,760.1396444170095,None,None,6,3.6089647919870913,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.7914504999935,763.7914504999935,763.7914504999935,space,2.8457164999854285,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,0.4,,,,,,Stimuli/CS+1.BMP,,,,,,,,,,,,,,,,,0,0,0,14,,,,,,,,,772.6719994170126,776.9773668340058,,,,,,,,,,,,,,,,,,,,,,,,,,766.6729138749943,766.6729138749943,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.9773668340058,776.9773668340058,,,,,,,
