PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,43.36605439998675,None,43.36605439998675,None,space,2.1024505000095814,43.36605439998675,None,45.52476170001319,None,45.52476170001319,None,46.51168500003405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66289139998844,None,46.66289139998844,47.64494530000957,47.6777393000084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.951862399990205,None,47.951862399990205,48.94494690001011,48.96419710002374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.04440539999632,None,49.04440539999632,50.02815890003694,50.04457510000793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.27653650002321,None,50.27653650002321,51.263759800000116,51.280380100011826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.419532100029755,None,51.419532100029755,52.41085230000317,52.427407199982554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51527309999801,None,52.51527309999801,53.51105820003431,53.527377200021874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.587461600021925,None,53.587461600021925,None,54.578250400023535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.815549099992495,None,54.815549099992495,55.81166870001471,55.828404500032775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.971689000027254,None,55.971689000027254,56.96106910001254,56.97687360004056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1604,FigureTest,2021.2.1,59.97940306976616,
