PreCondName,TrgCol,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,precondBkg.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition/CS+1.BMP,0.4,0,0,0,0,0,0,0,7,27.273797290999937,27.273797290999937,27.273797290999937,space,5.42771816700224,32.77986704099931,32.77986704099931,38.757163790998675,38.773178957999335,46.80588874999921,,dsfdsf,001,2022-11-17_17h27.37.656,FigureTest,2022.2.4,60.15798967963285,
PreCondition/CS+1.BMP,0.4,0,0,0,0,0,1,1,5,,,,,,46.80588874999921,46.80588874999921,52.789856374998635,52.806719082998825,60.99018083299961,52.806719082998825,dsfdsf,001,2022-11-17_17h27.37.656,FigureTest,2022.2.4,60.15798967963285,
,,,,,,,,,,,,,,,60.99018083299961,60.99018083299961,66.97422283299966,67.0050626659995,,,,,,,,,
