PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,CSBkg.stopped,CS_image.stopped,sound_1.stopped,InstrBkg3.started,TagFig3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,ExtBkg.started,Ext_image.started,EndTxt.started,participant,session,date,expName,psychopyVersion,frameRate,
Stimuli/CS+4.BMP,0.4,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,163.6109964579955,163.6109964579955,,169.59190195798874,173.94822237499466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,-0.1,Instructions_EN/ratingCS+1.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,173.94822237499466,173.94822237499466,173.94822237499466,None,None,5,5.268968626012793,,,,,,,,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.4,Instructions_EN/ratingCS+3.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,180.4106299579871,180.4106299579871,180.4106299579871,None,None,5,0.1464380420075031,,,,,,,,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,-0.1,Instructions_EN/ratingCS+4.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,180.63275979198806,180.63275979198806,180.63275979198806,None,None,5,1.4198129580181558,,,,,,,,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1182195829897,182.1182195829897,182.1182195829897,space,1.222763042023871,,,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.9,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,0,0,40,,,,,,,,,,,,,,,,,,,,,190.35952379199443,194.47113437499502,,,,,,,,,,,,,183.41762712498894,183.41762712498894,189.433664917,189.433664917,189.42800735839992,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.4,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,202.90083766699536,207.1782442919939,,,,,,,,,,,,,194.47113437499502,194.47113437499502,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.9,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,214.17600370799482,218.41345295798965,,,,,,,,,,,,,207.1782442919939,207.1782442919939,213.30007216699596,213.30007216699596,213.2928830077988,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.9,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,225.42740479198983,229.5479224169976,,,,,,,,,,,,,218.41345295798965,218.41345295798965,224.427203291998,224.427203291998,224.42579620409523,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.9,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,236.5608390829875,240.97840662499948,,,,,,,,,,,,,229.5479224169976,229.5479224169976,235.56359704199713,235.56359704199713,235.56225337109353,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.4,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,5,5,27,,,,,,,,,,,,,,,,,,,,,249.0970544169977,253.44868637499167,,,,,,,,,,,,,240.97840662499948,240.97840662499948,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,-0.1,,Stimuli/CS+4.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,6,6,30,,,,,,,,,,,,,,,,,,,,,261.49913374999596,265.56209379198845,,,,,,,,,,,,,253.44868637499167,253.44868637499167,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.9,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,7,7,42,,,,,,,,,,,,,,,,,,,,,272.5611863749946,276.9370536669885,,,,,,,,,,,,,265.56209379198845,265.56209379198845,271.6634382499906,271.6634382499906,271.6448118915956,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
,0.4,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,284.96008024999173,289.15927004200057,,,,,,,,,,,,,276.9370536669885,276.9370536669885,,,,,,,,,,,,,,,Demo,001,2022-12-14_05h50.47.314,FigureTest,2022.2.4,59.46861804093505,
