PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction1.thisRepN,Extinction1.thisTrialN,Extinction1.thisN,Extinction1.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,128.94840910000494,None,,,,,,,,,123.3569567000377,None,123.3569567000377,None,space,2.489462499972433,123.3569567000377,None,125.89776680001523,None,125.89776680001523,None,127.9027536000358,None,127.9027536000358,None,127.91226716001984,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,135.65794950001873,None,,,,,,,,,,,,,,,,,130.1612075000303,None,130.1612075000303,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,139.94615850003902,None,,,,,,,,,,,,,,,,,136.84605350001948,None,136.84605350001948,None,139.8810625000042,None,139.8810625000042,None,139.80787824012805,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,144.22230780002428,None,,,,,,,,,,,,,,,,,141.15270360000432,None,141.15270360000432,None,144.16345310001634,None,144.16345310001634,None,144.1025210401276,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,,,148.46749870001804,None,,,,,,,,,,,,,,,,,145.38336860004347,None,145.38336860004347,None,148.35318590002134,None,148.35318590002134,None,148.33336674014572,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,152.64480260002892,None,,,,,,,,,,,,,,,,,149.56323180004256,None,149.56323180004256,None,152.55816730001243,None,152.55816730001243,None,152.53928237018408,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,,,,,156.94087410002248,None,,,,,,,,,,,,,,,,,153.83496350003406,None,153.83496350003406,None,156.86843220004812,None,156.86843220004812,None,156.7941053401446,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,7,7,24,,,,,,,,,,,,,,,,,,,,,,,,,161.06195300002582,None,,,,,,,,,,,,,,,,,157.99230850004824,None,157.99230850004824,None,161.02657810004894,None,161.02657810004894,None,160.97280897013843,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,8,8,22,,,,,,,,,,,,,,,,,,,,,,,,,165.63547010003822,None,,,,,,,,,,,,,,,,,162.55595820001327,None,162.55595820001327,None,165.58703950000927,None,165.58703950000927,None,165.51380814018194,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,9,9,26,,,,,,,,,,,,,,,,,,,,,,,,,169.87298030004604,None,,,,,,,,,,,,,,,,,166.84154470002977,None,166.84154470002977,None,169.80838350002887,None,169.80838350002887,None,169.79143774014665,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,174.21660340001108,None,,,,,,,,,,,,,,,,,171.20224260003306,None,171.20224260003306,None,173.30431560002035,None,173.30431560002035,None,173.31183974002488,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,178.71513520000735,None,,,,,,,,,,,,,,,,,175.67358870001044,None,175.67358870001044,None,177.68183200003114,None,177.68183200003114,None,177.6899796600337,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,182.87304230005248,None,,,,,,,,,,,,,,,,,179.82991650002077,None,179.82991650002077,None,181.85663490003208,None,181.85663490003208,None,181.85773256001994,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,13,13,19,,,,,,,,,,,,,,,,,,,,,,,,,189.65650390001247,None,,,,,,,,,,,,,,,,,184.15117090003332,None,184.15117090003332,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,193.80766760004917,None,,,,,,,,,,,,,,,,,190.79856360005215,None,190.79856360005215,None,192.91289570002118,None,192.91289570002118,None,192.9233771400177,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,198.02195470000152,None,,,,,,,,,,,,,,,,,194.96705180004938,None,194.96705180004938,None,196.98862920003012,None,196.98862920003012,None,196.99905386002501,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,,204.60347690002527,None,,,,,,,,,,,,,,,,,199.09880950005027,None,199.09880950005027,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
