ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.4,Rating\ratingCS-1.png,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,52.945344000007026,None,52.945344000007026,None,2.1796875,0.5846863000188023,52.945344000007026,None,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,0,0,12,,,,,,,,,,,,,53.55471249995753,None,53.55471249995753,None,54.56423499999801,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,1,1,17,,,,,,,,,,,,,54.84659719996853,None,54.84659719996853,None,55.854475900006946,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,2,2,6,,,,,,,,,,,,,55.95063849998405,None,55.95063849998405,None,56.95433380000759,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,3,3,1,,,,,,,,,,,,,57.17068629997084,None,57.17068629997084,None,58.1705277999863,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,4,4,19,,,,,,,,,,,,,58.29889799997909,None,58.29889799997909,None,59.30478489998495,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,5,5,14,,,,,,,,,,,,,59.41155089996755,None,59.41155089996755,None,60.420395499968436,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,6,6,16,,,,,,,,,,,,,60.52013580000494,None,60.52013580000494,None,61.520458599959966,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,7,7,11,,,,,,,,,,,,,61.60870079998858,None,61.60870079998858,None,62.62289439997403,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
